state,q0,q1,q2,q3,q4,q5,q6,q7,q8
"-1,-1,-1,-1,0,1,0,1,1",-99,-99,-99,-99,0,-99,0,-99,-99
"-1,-1,-1,-1,0,1,1,0,1",-99,-99,-99,-99,0,-99,-99,0,-99
"-1,-1,-1,-1,0,1,1,1,0",-99,-99,-99,-99,0,-99,-99,-99,0
"-1,-1,-1,-1,1,0,0,1,1",-99,-99,-99,-99,-99,0,0,-99,-99
"-1,-1,-1,-1,1,0,1,0,1",-99,-99,-99,-99,-99,0,-99,0,-99
"-1,-1,-1,-1,1,0,1,1,0",-99,-99,-99,-99,-99,0,-99,-99,0
"-1,-1,-1,-1,1,1,-1,1,1",-99,-99,-99,-99,-99,-99,-99,-99,-99
"-1,-1,-1,-1,1,1,0,0,1",-99,-99,-99,-99,-99,-99,0,0,-99
"-1,-1,-1,-1,1,1,0,1,0",-99,-99,-99,-99,-99,-99,0,-99,0
"-1,-1,-1,-1,1,1,0,1,1",-99,-99,-99,-99,-99,-99,0,-99,-99
"-1,-1,-1,-1,1,1,1,-1,1",-99,-99,-99,-99,-99,-99,-99,-99,-99
"-1,-1,-1,-1,1,1,1,0,0",-99,-99,-99,-99,-99,-99,-99,0,0
"-1,-1,-1,-1,1,1,1,0,1",-99,-99,-99,-99,-99,-99,-99,0,-99
"-1,-1,-1,-1,1,1,1,1,-1",-99,-99,-99,-99,-99,-99,-99,-99,-99
"-1,-1,-1,-1,1,1,1,1,0",-99,-99,-99,-99,-99,-99,-99,-99,0
"-1,-1,-1,0,-1,1,0,1,1",-99,-99,-99,0,-99,-99,0,-99,-99
"-1,-1,-1,0,-1,1,1,0,1",-99,-99,-99,0,-99,-99,-99,0,-99
"-1,-1,-1,0,-1,1,1,1,0",-99,-99,-99,0,-99,-99,-99,-99,0
"-1,-1,-1,0,0,0,0,1,1",-99,-99,-99,0,0,0,0,-99,-99
"-1,-1,-1,0,0,0,1,0,1",-99,-99,-99,0,0,0,-99,0,-99
"-1,-1,-1,0,0,0,1,1,0",-99,-99,-99,0,0,0,-99,-99,0
"-1,-1,-1,0,0,1,-1,1,1",-99,-99,-99,0,0,-99,-99,-99,-99
"-1,-1,-1,0,0,1,0,0,1",-99,-99,-99,0,0,-99,0,0,-99
"-1,-1,-1,0,0,1,0,1,0",-99,-99,-99,0,0,-99,0,-99,0
